Date,Activity,Start Time,End Time,F-RPE,U-RPE,L-RPE,(Sets + Rest) x (Reps + Rest) w/ Load,Notes,Duration,Finger Load,Upper Load,Lower Load,Finger Recovery Days,Upper Recovery Days,Lower Recovery Days
3/31/2024,Bouldering,2:45 PM,3:15 PM,8.0,8.0,2.0,,projecting V8+ at evo,0.50,4.00,4.00,1.00,3.18,3.18,0.43
3/31/2024,Power/Strength Endurance,3:15 PM,3:45 PM,7.0,6.0,2.0,,"yellow tape v3-v5 boulders, felt aerobically intense but managed pretty well pump and power-wise",0.50,3.50,3.00,1.00,2.50,1.92,0.43
4/3/2024,Warm-Up,6:15 PM,6:30 PM,4.0,4.0,3.0,,,0.25,1.00,1.00,0.75,1.04,1.04,0.71
4/3/2024,Bouldering,6:30 PM,7:00 PM,5.0,5.0,3.0,"onsighting, comp style problems, foot position and generation problems on purple dyno",,0.50,2.50,2.50,1.50,1.45,1.45,0.71
4/3/2024,Bouldering,7:00 PM,8:30 PM,8.0,9.0,2.0,"Moonboard - angry at sagging shoulders, generating force was so hard, felt so uncoordinated",,1.50,12.00,13.50,3.00,3.18,4.00,0.43
4/3/2024,Bouldering,8:30 PM,9:00 PM,7.0,8.0,2.0,"Pink V9, need core power for far Gaston, hips sagging out, shoulders falling out",,0.50,3.50,4.00,1.00,2.50,3.18,0.43
4/5/2024,Warm-Up,3:40 PM,3:55 PM,4.0,4.0,3.0,,"stretch, shrugs, pull-ups, hangboard, wall walking",0.25,1.00,1.00,0.75,1.04,1.04,0.71
4/5/2024,Bouldering,3:55 PM,4:15 PM,5.0,6.0,2.0,,Onsighting on ~15 degree wall,0.33,1.67,2.00,0.67,1.45,1.92,0.43
4/5/2024,Bouldering,4:15 PM,5:00 PM,7.0,8.5,2.0,,"projecting on ~15 degree wall, crazy purple boulder with drop down toehook beta, white crimp V8 required using a bad pinch to suck into the wall, I couldn't hack it, couldn't get into shoulders for gaston",0.75,5.25,6.38,1.50,2.50,3.57,0.43
4/5/2024,Bouldering,5:00 PM,5:30 PM,6.0,7.0,2.0,,"repeated V5s with more effort into core and shoulders, back pinchy on 40 degree felt so limit",0.50,3.00,3.50,1.00,1.92,2.50,0.43
4/6/2024,Bouldering,2:30 PM,3:15 PM,6.0,7.5,2.0,,,0.75,4.50,5.62,1.50,1.92,2.82,0.43
4/10/2024,Warm-Up,5:20 PM,5:40 PM,4.0,4.0,3.0,,"shrugs, pull-ups, hangboard, stretch, light pump on overhung jug haul",0.33,1.33,1.33,1.00,1.04,1.04,0.71
4/10/2024,Board Climbing,5:40 PM,7:30 PM,7.0,7.5,3.0,,"moonboard 2024 set, felt so much better today, tried absolutely hard only 1 or 2 times, next time will truly give it my all",1.83,12.83,13.75,5.50,2.50,2.82,0.71
4/10/2024,Bouldering,7:30 PM,8:00 PM,5.5,5.5,2.0,,"moderates, powered out for sure, out of breath",0.50,2.75,2.75,1.00,1.67,1.67,0.43
4/12/2024,Warm-Up,3:30 PM,4:00 PM,4.0,4.0,2.0,,"hangboard, pull-ups, easy boulders",0.50,2.00,2.00,1.00,1.04,1.04,0.43
4/12/2024,Bouldering,4:00 PM,5:30 PM,7.0,8.5,2.0,,black pinchy V5 and V7,1.50,10.50,12.75,3.00,2.50,3.57,0.43
4/12/2024,Movement Practice,5:30 PM,6:20 PM,5.0,9.0,2.0,,"lock-offs, contralateral 2-point, using the trailing foot as a smear to push out and toward target is very helpful, lead with hips!",0.83,4.17,7.50,1.67,1.45,4.00,0.43
4/14/2024,Warm-Up,7:30 PM,7:35 PM,0.0,2.0,3.0,,stretching,0.08,0.00,0.17,0.25,0.00,0.43,0.71
4/14/2024,Movement Practice,7:35 PM,8:30 PM,5.0,5.0,3.0,,on V0-V2 hips to wall and straight gen to bent catch,0.92,4.58,4.58,2.75,1.45,1.45,0.71
4/15/2024,Cardio,6:50 PM,7:00 PM,0.0,0.0,7.0,,bike with emphasis on explosive pedaling,0.17,0.00,0.00,1.17,0.00,0.00,2.50
4/15/2024,Warm-Up,7:00 PM,7:30 PM,4.0,4.0,2.0,,easy boulders,0.50,2.00,2.00,1.00,1.04,1.04,0.43
4/15/2024,Bouldering,7:30 PM,8:30 PM,8.0,8.0,2.0,,"white crimpy V8 in cave, make ups",1.00,8.00,8.00,2.00,3.18,3.18,0.43
4/15/2024,Movement Practice,8:30 PM,9:00 PM,4.0,6.0,3.0,,"hips to wall 10 in 10, rest for 10, contralateral lock-offs\",0.50,2.00,3.00,1.50,1.04,1.92,0.71
4/16/2024,Cardio,6:50 PM,7:00 PM,0.0,0.0,7.0,,bike with emphasis on explosive pedaling,0.17,0.00,0.00,1.17,0.00,0.00,2.50
4/16/2024,Bouldering,8:15 PM,9:00 PM,5.0,5.0,2.0,,make-ups and limit moves with lots of rest,0.75,3.75,3.75,1.50,1.45,1.45,0.43
4/19/2024,Warm-Up,4:00 PM,4:30 PM,4.0,4.0,2.0,,"hips to wall easy climbs, hangboard pull ups",0.50,2.00,2.00,1.00,1.04,1.04,0.43
4/19/2024,Bouldering,4:30 PM,6:00 PM,8.0,7.0,3.0,,"onsighting/projecting, got fatigued very quickly",1.50,12.00,10.50,4.50,3.18,2.50,0.71
4/23/2024,Warm-Up,7:00 PM,7:30 PM,4.0,4.0,4.0,,,0.50,2.00,2.00,2.00,1.04,1.04,1.04
4/23/2024,Bouldering,7:30 PM,8:30 PM,7.0,7.0,2.0,,onsighting,1.00,7.00,7.00,2.00,2.50,2.50,0.43
4/23/2024,Bouldering,8:30 PM,9:00 PM,8.0,8.0,2.0,,projecting,0.50,4.00,4.00,1.00,3.18,3.18,0.43
4/24/2024,Mobility/Stability,8:20 PM,9:00 PM,0.0,4.0,5.5,,Yoga,0.67,0.00,2.67,3.67,0.00,1.04,1.67
4/26/2024,Cardio,3:00 PM,3:15 PM,0.0,0.0,3.0,,hiked,0.25,0.00,0.00,0.75,0.00,0.00,0.71
4/26/2024,Outdoor Routes,4:20 PM,4:30 PM,4.0,4.0,0.0,,5.6 to learn to lead,0.17,0.67,0.67,0.00,1.04,1.04,0.00
4/26/2024,Outdoor Routes,5:20 PM,5:30 PM,5.0,5.0,2.0,,5.9 to learn to lead,0.17,0.83,0.83,0.33,1.45,1.45,0.43
4/26/2024,Outdoor Routes,7:00 PM,7:30 PM,9.0,6.0,2.0,,"5.12a at Bubba Buttress, fell near top",0.50,4.50,3.00,1.00,4.00,1.92,0.43
4/26/2024,Cardio,7:45 PM,8:00 PM,0.0,0.0,7.0,,hiked,0.25,0.00,0.00,1.75,0.00,0.00,2.50
4/27/2024,Outdoor Routes,12:30 PM,12:45 PM,8.0,5.0,2.0,,5.10b at Gun wall,0.25,2.00,1.25,0.50,3.18,1.45,0.43
4/27/2024,Outdoor Routes,1:30 PM,2:00 PM,9.0,7.0,2.0,,"Applo Reed 5.13a Colliseum, bolt to bolt, did shield crux!",0.50,4.50,3.50,1.00,4.00,2.50,0.43
4/27/2024,Outdoor Routes,2:30 PM,2:45 PM,8.0,6.0,2.0,,"5.12b at Colliseum, so tired and hungry",0.25,2.00,1.50,0.50,3.18,1.92,0.43
4/27/2024,Cardio,3:30 PM,4:00 PM,0.0,0.0,5.0,,hike,0.50,0.00,0.00,2.50,0.00,0.00,1.45
4/28/2024,Cardio,9:15 AM,10:00 AM,0.0,0.0,3.0,,hiked,0.75,0.00,0.00,2.25,0.00,0.00,0.71
4/28/2024,Cardio,11:00 AM,11:30 AM,0.0,0.0,4.0,,hiked,0.50,0.00,0.00,2.00,0.00,0.00,1.04
4/28/2024,Outdoor Routes,11:30 AM,12:00 PM,9.0,6.0,2.0,,"amazing 11a at Snake Buttress, had to take from pump despite slab",0.50,4.50,3.00,1.00,4.00,1.92,0.43
4/28/2024,Cardio,1:40 PM,1:50 PM,0.0,0.0,5.5,,hiked,0.17,0.00,0.00,0.92,0.00,0.00,1.67
4/28/2024,Cardio,1:50 PM,2:00 PM,0.0,0.0,7.0,,ran,0.17,0.00,0.00,1.17,0.00,0.00,2.50
4/29/2024,Warm-Up,7:00 PM,7:30 PM,4.0,6.0,2.0,,"at slaughter, onsighting some stuff",0.50,2.00,3.00,1.00,1.04,1.92,0.43
4/29/2024,Movement Practice,7:30 PM,8:30 PM,5.0,7.0,3.0,,make ups on steep wall,1.00,5.00,7.00,3.00,1.45,2.50,0.71
4/29/2024,Power,8:30 PM,9:00 PM,5.0,8.0,0.0,,Campusing,0.50,2.50,4.00,0.00,1.45,3.18,0.00
5/1/2024,Warm-Up,6:10 PM,6:30 PM,3.0,3.0,3.0,,,0.33,1.00,1.00,1.00,0.71,0.71,0.71
5/1/2024,Movement Practice,6:30 PM,7:30 PM,5.5,5.5,3.0,,,1.00,5.50,5.50,3.00,1.67,1.67,0.71
5/1/2024,Bouldering,7:30 PM,9:00 PM,7.0,8.0,2.0,,,1.50,10.50,12.00,3.00,2.50,3.18,0.43
5/2/2024,Bouldering,7:15 PM,8:15 PM,4.0,5.0,3.0,,,1.00,4.00,5.00,3.00,1.04,1.45,0.71
5/5/2024,Warm-Up,10:00 AM,10:15 AM,3.0,3.0,3.0,,,0.25,0.75,0.75,0.75,0.71,0.71,0.71
5/5/2024,Movement Practice,10:15 AM,11:30 AM,5.0,5.0,3.0,,,1.25,6.25,6.25,3.75,1.45,1.45,0.71
5/5/2024,Bouldering,11:30 AM,12:30 PM,7.0,8.0,2.0,,projecting,1.00,7.00,8.00,2.00,2.50,3.18,0.43
5/6/2024,Warm-Up,4:00 PM,4:30 PM,5.0,5.0,2.0,,,0.50,2.50,2.50,1.00,1.45,1.45,0.43
5/6/2024,Movement Practice,4:30 PM,5:30 PM,4.0,7.0,3.0,,"stand up dyno, underup",1.00,4.00,7.00,3.00,1.04,2.50,0.71
5/6/2024,Bouldering,5:30 PM,6:00 PM,8.5,8.0,3.0,,"3 attempts on white V8 crimpy 40 degree project. fingers giving out, failed tight deadpoint pulling over foot",0.50,4.25,4.00,1.50,3.57,3.18,0.71
5/8/2024,Work Capacity,7:30 PM,8:30 PM,5.0,5.0,2.0,,onsighting V3/V4 with short rests,1.00,5.00,5.00,2.00,1.45,1.45,0.43
5/8/2024,Bouldering,9:00 PM,10:00 PM,6.0,6.0,2.0,,onsighting V5/V6 with more rest,1.00,6.00,6.00,2.00,1.92,1.92,0.43
5/10/2024,Warm-Up,2:00 PM,2:30 PM,3.0,3.0,3.0,,,0.50,1.50,1.50,1.50,0.71,0.71,0.71
5/10/2024,Movement Practice,2:30 PM,3:00 PM,6.0,6.0,2.0,,,0.50,3.00,3.00,1.00,1.92,1.92,0.43
5/10/2024,Strength,3:00 PM,3:30 PM,8.0,9.0,2.0,,crux holds,0.50,4.00,4.50,1.00,3.18,4.00,0.43
5/13/2024,Warm-Up,4:50 PM,5:00 PM,5.0,5.0,4.0,,,0.17,0.83,0.83,0.67,1.45,1.45,1.04
5/13/2024,Movement Practice,5:00 PM,5:30 PM,4.0,4.0,3.0,,,0.50,2.00,2.00,1.50,1.04,1.04,0.71
5/13/2024,Performance,5:30 PM,6:30 PM,8.0,7.0,2.0,,green slab,1.00,8.00,7.00,2.00,3.18,2.50,0.43
5/13/2024,Performance,6:30 PM,7:00 PM,8.5,8.0,2.0,,purple dihedral,0.50,4.25,4.00,1.00,3.57,3.18,0.43
5/13/2024,Performance,7:00 PM,7:30 PM,7.0,8.0,2.0,,black bulge,0.50,3.50,4.00,1.00,2.50,3.18,0.43
5/13/2024,Power,7:45 PM,8:15 PM,7.0,7.0,0.0,,,0.50,3.50,3.50,0.00,2.50,2.50,0.00
5/14/2024,Warm-Up,12:00 PM,12:15 PM,3.0,3.0,2.0,,,0.25,0.75,0.75,0.50,0.71,0.71,0.43
5/14/2024,PumpCap/AnCap,1:00 PM,1:20 PM,8.0,5.0,2.0,,,0.33,2.67,1.67,0.67,3.18,1.45,0.43
5/15/2024,Cross Training,12:10 AM,12:20 AM,0.0,7.0,4.0,,,0.17,0.00,1.17,0.67,0.00,2.50,1.04
5/15/2024,Movement Practice,7:00 PM,9:00 PM,4.0,6.0,2.0,,"spanning deadpoints and bumps, one hard deadpoint on slab from vertical pinch over bad feet, trailing foot propulsion!!",2.00,8.00,12.00,4.00,1.04,1.92,0.43
5/15/2024,Bouldering,9:00 PM,10:00 PM,7.0,6.0,3.0,,"Onsighting, had trouble with crux of a red tag... limit moves with braiden",1.00,7.00,6.00,3.00,2.50,1.92,0.71
5/16/2024,Movement Practice,8:30 PM,9:30 PM,4.5,4.5,2.5,,,1.00,4.50,4.50,2.50,1.24,1.24,0.56
5/17/2024,Warm-Up,7:30 PM,7:45 PM,5.0,5.0,3.0,,"very quick on-wall traversing, leading foot positions",0.25,1.25,1.25,0.75,1.45,1.45,0.71
5/17/2024,Strength,8:15 PM,8:45 PM,7.5,9.0,2.0,,crux holds! felt good in positions but very challenging,0.50,3.75,4.50,1.00,2.82,4.00,0.43
5/17/2024,Performance,9:15 PM,9:30 PM,6.0,5.0,3.0,,5.11+/7A onsight,0.25,1.50,1.25,0.75,1.92,1.45,0.71
5/17/2024,Performance,9:45 PM,10:00 PM,8.0,6.0,2.0,,projecting 5.13/8A,0.25,2.00,1.50,0.50,3.18,1.92,0.43
5/18/2024,Cross Training,12:30 PM,12:45 PM,0.0,7.5,0.0,,core and pushups circuit,0.25,0.00,1.88,0.00,0.00,2.82,0.00
5/18/2024,Cross Training,12:45 PM,1:00 PM,0.0,3.0,5.0,,lower and shoudler circuit,0.25,0.00,0.75,1.25,0.00,0.71,1.45
5/19/2024,Warm-Up,1:15 PM,1:30 PM,0.0,3.0,3.0,,,0.25,0.00,0.75,0.75,0.00,0.71,0.71
5/19/2024,Movement Practice,1:30 PM,2:00 PM,5.0,5.0,2.0,,,0.50,2.50,2.50,1.00,1.45,1.45,0.43
5/19/2024,Power,2:00 PM,2:30 PM,7.0,8.0,2.0,,"red tag slopey move, horrible heel, green tag comitting at top",0.50,3.50,4.00,1.00,2.50,3.18,0.43
5/19/2024,Performance,2:40 PM,2:50 PM,7.0,6.0,2.0,,"5.12 red onsight, fell making poor beta choice, needed to roll through undercling... even if tired",0.17,1.17,1.00,0.33,2.50,1.92,0.43
5/19/2024,Performance,3:20 PM,3:30 PM,8.0,6.0,2.0,,"5.12 green onsight, fingers gave out on crimps both falls",0.17,1.33,1.00,0.33,3.18,1.92,0.43
5/19/2024,PumpCap/AnCap,4:00 PM,4:15 PM,9.0,6.0,2.0,,"5.11 double, fell 1/3 way on second lap",0.25,2.25,1.50,0.50,4.00,1.92,0.43
5/19/2024,PumpCap/AnCap,4:30 PM,5:00 PM,9.0,3.0,2.0,,"feet on campus descenders, lots of failure but always clsoe to time. noticed ease of full crimping when very tired",0.50,4.50,1.50,1.00,4.00,0.71,0.43
5/20/2024,Warm-Up,8:45 PM,9:00 PM,3.0,3.0,0.0,,,0.25,0.75,0.75,0.00,0.71,0.71,0.00
5/20/2024,Bouldering,9:00 PM,10:00 PM,6.0,6.0,2.0,,,1.00,6.00,6.00,2.00,1.92,1.92,0.43
5/21/2024,Movement Practice,4:40 PM,5:20 PM,5.0,7.0,0.0,,far low leading foot shouldery deadpoints,0.67,3.33,4.67,0.00,1.45,2.50,0.00
5/21/2024,Performance,5:30 PM,6:10 PM,8.0,8.0,0.0,,"worked and sent black V7 with spanny start, into powerful small holds on high feet",0.67,5.33,5.33,0.00,3.18,3.18,0.00
5/22/2024,Warm-Up,8:30 PM,9:00 PM,5.0,5.0,0.0,,"got a little pumped, did some big moves",0.50,2.50,2.50,0.00,1.45,1.45,0.00
5/22/2024,Strength,9:15 PM,9:45 PM,8.0,8.0,2.0,,limit holds,0.50,4.00,4.00,1.00,3.18,3.18,0.43
5/22/2024,Bouldering,9:45 PM,10:00 PM,4.0,6.0,0.0,,braiden's big move makeups,0.25,1.00,1.50,0.00,1.04,1.92,0.00
5/27/2024,Cardio,10:40 AM,11:00 AM,0.0,0.0,4.0,,kaymoor - bridge buttress approach,0.33,0.00,0.00,1.33,0.00,0.00,1.04
5/27/2024,Outdoor Routes,11:30 AM,12:00 PM,8.0,6.0,2.0,,"10a but felt like 11a, 2 takes",0.50,4.00,3.00,1.00,3.18,1.92,0.43
5/27/2024,Outdoor Routes,12:30 PM,1:00 PM,8.0,5.0,2.0,,"10b right of the two at bridge buttress, super fun movement, 2 takes",0.50,4.00,2.50,1.00,3.18,1.45,0.43
5/27/2024,Outdoor Routes,1:15 PM,1:30 PM,7.0,5.0,2.0,,sent the 10b,0.25,1.75,1.25,0.50,2.50,1.45,0.43
5/27/2024,Cardio,2:20 PM,2:40 PM,0.0,0.0,6.5,,kaymoor - bridge buttress return,0.33,0.00,0.00,2.17,0.00,0.00,2.20
5/26/2024,Cardio,10:00 AM,10:30 AM,0.0,0.0,4.0,,honeymooner's ladder approach,0.50,0.00,0.00,2.00,0.00,0.00,1.04
5/26/2024,Outdoor Routes,11:30 AM,12:00 PM,3.0,3.0,3.0,,endless wall 5.9,0.50,1.50,1.50,1.50,0.71,0.71,0.71
5/26/2024,Outdoor Routes,12:30 PM,1:15 PM,9.0,7.0,0.0,,endless wall 5.11d,0.75,6.75,5.25,0.00,4.00,2.50,0.00
5/26/2024,Cardio,4:00 PM,4:30 PM,0.0,0.0,5.0,,honeymooner's ladder return,0.50,0.00,0.00,2.50,0.00,0.00,1.45
5/25/2024,Cardio,11:00 AM,11:30 AM,0.0,0.0,5.0,,2nd buttress approach,0.50,0.00,0.00,2.50,0.00,0.00,1.45
5/25/2024,Outdoor Routes,12:45 PM,1:00 PM,6.0,4.0,0.0,,5.7,0.25,1.50,1.00,0.00,1.92,1.04,0.00
5/25/2024,Outdoor Routes,1:30 PM,2:00 PM,9.0,6.0,0.0,,5.11b,0.50,4.50,3.00,0.00,4.00,1.92,0.00
5/25/2024,Outdoor Routes,2:30 PM,3:00 PM,9.0,6.0,0.0,,5.11a,0.50,4.50,3.00,0.00,4.00,1.92,0.00
5/25/2024,Outdoor Routes,4:30 PM,5:00 PM,8.0,7.0,0.0,,5.12a,0.50,4.00,3.50,0.00,3.18,2.50,0.00
5/25/2024,Cardio,6:00 PM,6:30 PM,0.0,0.0,5.0,,3rd buttress return,0.50,0.00,0.00,2.50,0.00,0.00,1.45
5/29/2024,Movement Practice,8:30 PM,8:45 PM,3.0,3.0,0.0,,throwing hips,0.25,0.75,0.75,0.00,0.71,0.71,0.00
5/29/2024,Bouldering,8:45 PM,9:30 PM,7.0,7.0,2.0,,pretty sloppy overly powerful movement...,0.75,5.25,5.25,1.50,2.50,2.50,0.43
5/29/2024,PumpCap/AnCap,9:30 PM,10:00 PM,8.5,5.0,0.0,,"unsure of myself on wall, poor movement chocies when tired",0.50,4.25,2.50,0.00,3.57,1.45,0.00
5/30/2024,Movement Practice,9:00 PM,10:00 PM,3.0,5.0,2.0,,,1.00,3.00,5.00,2.00,0.71,1.45,0.43
5/31/2024,Warm-Up,8:00 PM,8:15 PM,3.0,3.0,3.0,,fingers and shoulders and mobility,0.25,0.75,0.75,0.75,0.71,0.71,0.71
5/31/2024,Performance,9:15 PM,10:00 PM,8.0,6.0,2.0,3 x 2 + 5,onsighting 5.12s with 2 attempts from ground,0.75,6.00,4.50,1.50,3.18,1.92,0.43
6/3/2024,Warm-Up,12:30 PM,1:00 PM,3.0,3.0,3.0,,,0.50,1.50,1.50,1.50,0.71,0.71,0.71
6/3/2024,Performance,1:15 PM,1:30 PM,9.0,7.0,2.0,,"Onsight 5.11 crimpy flat wall, started tightening up and overgripping when tired. doubted holds early, uncomfy 3drag, RELAX WHEN TIRED!",0.25,2.25,1.75,0.50,4.00,2.50,0.43
6/3/2024,Performance,1:45 PM,2:00 PM,4.0,7.0,2.0,,"Onsight 5.12 delicate pressing, POSITION AROUND HOLDS, MOVE FEET!",0.25,1.00,1.75,0.50,1.04,2.50,0.43
6/3/2024,Performance,2:15 PM,2:40 PM,7.0,8.0,2.0,,"Onsight 5.13- physical, FEET sequencing and execution",0.42,2.92,3.33,0.83,2.50,3.18,0.43
6/3/2024,Bouldering,2:30 PM,3:15 PM,5.0,5.0,3.0,,"lots of V3-V4s on flat walls, just technical compy stuff, pretty aerobically taxing",0.75,3.75,3.75,2.25,1.45,1.45,0.71
6/5/2024,Warm-Up,7:30 PM,7:45 PM,3.0,3.0,3.0,,,0.25,0.75,0.75,0.75,0.71,0.71,0.71
6/5/2024,Movement Practice,7:45 PM,8:15 PM,5.0,5.0,0.0,,,0.50,2.50,2.50,0.00,1.45,1.45,0.00
6/5/2024,Bouldering,8:15 PM,9:00 PM,6.0,6.0,2.0,,,0.75,4.50,4.50,1.50,1.92,1.92,0.43
6/5/2024,Strength,9:00 PM,9:30 PM,7.0,8.0,3.0,,,0.50,3.50,4.00,1.50,2.50,3.18,0.71
6/5/2024,PumpCap/AnCap,9:30 PM,10:00 PM,7.0,9.0,2.0,,"Jess's circuits - rarely got pumped but still... 45 made easier and fell 1/3 up second, mini roof shoulders gave out in second, dihedral pumped out downclimbing purple",0.50,3.50,4.50,1.00,2.50,4.00,0.43
6/8/2024,Warm-Up,12:40 PM,1:00 PM,4.0,5.0,3.0,,,0.33,1.33,1.67,1.00,1.04,1.45,0.71
6/8/2024,Performance,1:00 PM,3:30 PM,6.5,9.0,2.0,,evo comp,2.50,16.25,22.50,5.00,2.20,4.00,0.43
6/7/2024,Movement Practice,8:00 PM,9:00 PM,5.0,6.0,2.0,,,1.00,5.00,6.00,2.00,1.45,1.92,0.43
6/10/2024,Warm-Up,1:15 PM,1:30 PM,3.0,3.0,3.0,,,0.25,0.75,0.75,0.75,0.71,0.71,0.71
6/10/2024,Power,1:30 PM,3:00 PM,8.0,8.0,1.0,kilter board with Avi,"truly trying hard in last half hour, generation was uncoordinated, catching was weak",1.50,12.00,12.00,1.50,3.18,3.18,0.20
6/12/2024,Movement Practice,8:00 PM,10:00 PM,5.0,5.0,3.0,,,2.00,10.00,10.00,6.00,1.45,1.45,0.71
6/13/2024,Warm-Up,5:00 PM,5:15 PM,3.0,2.0,1.0,"Feet off traversing, stretch",,0.25,0.75,0.50,0.25,0.71,0.43,0.20
6/13/2024,Performance,5:15 PM,5:45 PM,7.0,5.0,2.5,Three 5.10 onsights,Leisurely pace but good practice for maintaining good movement when pump builds,0.50,3.50,2.50,1.25,2.50,1.45,0.56
6/13/2024,PumpCap/AnCap,5:45 PM,6:00 PM,9.0,3.0,2.0,Campus Board Dropset,Fought to failure in only 3rd to last set,0.25,2.25,0.75,0.50,4.00,0.71,0.43
6/14/2024,Outdoor Bouldering,8:00 PM,9:30 PM,6.0,7.0,4.0,,don't pinch a sloper when you need to compress - elbow in to engage the shoulder. ,1.50,9.00,10.50,6.00,1.92,2.50,1.04
6/14/2024,Warm-Up,7:45 PM,8:00 PM,5.0,3.0,2.0,,,0.25,1.25,0.75,0.50,1.45,0.71,0.43
6/17/2024,Warm-Up,4:00 PM,4:30 PM,4.0,4.0,3.0,,"used 45 holds feet on, did some pink and white tags",0.50,2.00,2.00,1.50,1.04,1.04,0.71
6/17/2024,Onsight,4:30 PM,5:15 PM,6.0,6.0,2.0,up the river on two sets,"flashed all yellows, fell on pink blue at scrunchy start",0.75,4.50,4.50,1.50,1.92,1.92,0.43
6/17/2024,Onsight,5:15 PM,6:00 PM,9.0,7.0,1.0,4 green tags in 45 minutes," pink compression on 15 - higher foot and reachy bump; black undercling on 15 - higher foot to isolate gaston; green crimps in corner - try harder, stand on the feet and don't let go; yellow dyno - jump harder, try harder to hold cut loose",0.75,6.75,5.25,0.75,4.00,2.50,0.20
6/18/2024,Warm-Up,1:00 PM,1:30 PM,5.0,5.0,3.0,"stretch, shoulder band, juggy hangs, campus board <> hangboard","evolution sesion - great warm up, alternating between hanging and juggy campus board was good - trying to get 1-5, try to hang 1 arm with assistance 10mm",0.50,2.50,2.50,1.50,1.45,1.45,0.71
